branch-instructions,branch-misses,cache-misses,cpu-cycles,instructions,L1-dcache-loads,LLC-stores,iTLB-load-misses,label
33798,4345,30956,562695,152288,39908,574,532,0
29546,3699,23551,504144,131378,34429,413,518,0
31487,4493,34673,550705,143011,38028,536,376,0
31343,3927,25245,503884,142231,37773,427,482,0
29922,4049,37141,647804,133382,35027,457,500,0
30346,4029,33323,547855,135848,35799,404,453,0
30469,4175,27748,525872,136511,35997,469,509,0
29999,4008,32508,523774,133676,35087,412,476,0
30803,4268,42081,548112,138406,36485,519,464,0
29973,3428,24793,584419,133042,34787,514,752,0
30353,3992,26935,589984,136745,36147,452,491,0
29643,4248,27993,517490,131757,34526,372,494,0
32431,4034,25624,612876,146349,38859,588,807,0
29983,3695,25346,623055,133724,35112,432,557,0
30550,4324,23104,489947,137592,36312,432,372,0
29529,3748,24711,599332,131741,34430,355,591,0
30236,4140,31837,536406,134960,35491,402,442,0
31624,4320,28582,567818,140659,36881,471,448,0
29700,4237,27659,513815,132681,34809,403,542,0
30847,4234,41752,561905,135927,35514,446,494,0
29825,3990,43387,533259,133791,35188,419,373,1
30803,4272,35295,561728,138210,36474,460,450,1
29961,4144,38831,524022,135099,35209,407,353,1
29783,3908,25962,509870,133557,35019,372,388,1
29628,4098,37236,561964,131687,34511,430,555,1
30406,3648,39587,533228,136003,35889,386,469,1
31425,3623,24655,584388,140885,37153,526,834,1
30816,4177,40262,552337,138243,36401,443,456,1
30892,3901,27150,510863,138424,36528,487,480,1
30381,3607,27914,488337,135851,35896,449,471,1
30591,4096,28607,582736,137746,36376,526,479,1
30330,3912,31441,558581,135371,35592,400,536,1
29618,4078,35768,590142,131655,34500,458,483,1
31762,3899,25559,733552,142850,37747,404,674,1
30414,4074,21865,575041,136978,36089,477,646,1
31272,4074,25476,573574,142290,36933,407,582,1
31456,3986,27354,583087,141060,37212,462,616,1
31275,3880,25885,676761,139422,36169,510,662,1
30322,3617,25982,599952,135474,35253,372,571,1
30881,4348,38349,579168,136048,35533,432,467,1
