sample_id,timestamp_id,label,branch-instructions,branch-misses,cache-misses,cpu-cycles,instructions,L1-dcache-loads,LLC-stores,iTLB-load-misses
B_1.txt,1,0,0,0,0,0,0,0,0,0
B_1.txt,2,0,0,0,0,0,0,0,0,0
B_1.txt,3,0,0,0,0,0,0,0,0,0
B_1.txt,4,0,0,0,0,0,0,0,0,0
B_1.txt,5,0,0,0,0,0,0,0,0,0
B_1.txt,6,0,0,0,0,0,0,0,0,0
B_1.txt,7,0,0,0,0,0,0,0,0,0
B_1.txt,8,0,1471,134,1041,25432,6593,1733,30,23
B_1.txt,9,0,0,0,0,0,0,0,0,0
B_1.txt,10,0,0,0,0,0,0,0,0,0
B_1.txt,11,0,0,0,0,0,0,0,0,0
B_1.txt,12,0,0,0,0,0,0,0,0,0
B_1.txt,13,0,0,0,0,0,0,0,0,0
B_1.txt,14,0,0,0,0,0,0,0,0,0
B_1.txt,15,0,0,0,0,0,0,0,0,0
B_1.txt,16,0,0,0,0,0,0,0,0,0
B_1.txt,17,0,0,0,0,0,0,0,0,0
B_1.txt,18,0,1475,124,1142,38997,6607,1735,22,17
B_1.txt,19,0,0,0,0,0,0,0,0,0
B_1.txt,20,0,0,0,0,0,0,0,0,0
B_1.txt,21,0,0,0,0,0,0,0,0,0
B_1.txt,22,0,0,0,0,0,0,0,0,0
B_1.txt,23,0,0,0,0,0,0,0,0,0
B_1.txt,24,0,0,0,0,0,0,0,0,0
B_1.txt,25,0,0,0,0,0,0,0,0,0
B_1.txt,26,0,0,0,0,0,0,0,0,0
B_1.txt,27,0,0,0,0,0,0,0,0,0
B_1.txt,28,0,1481,143,1008,23305,6627,1741,9,32
B_1.txt,29,0,0,0,0,0,0,0,0,0
B_1.txt,30,0,0,0,0,0,0,0,0,0
B_1.txt,31,0,0,0,0,0,0,0,0,0
B_1.txt,32,0,0,0,0,0,0,0,0,0
B_1.txt,33,0,0,0,0,0,0,0,0,0
B_1.txt,34,0,0,0,0,0,0,0,0,0
B_1.txt,35,0,0,0,0,0,0,0,0,0
B_1.txt,36,0,0,0,0,0,0,0,0,0
B_1.txt,37,0,0,0,0,0,0,0,0,0
B_1.txt,38,0,1481,217,1129,30216,6627,1741,18,54
B_1.txt,39,0,0,0,0,0,0,0,0,0
B_1.txt,40,0,0,0,0,0,0,0,0,0
B_1.txt,41,0,0,0,0,0,0,0,0,0
B_1.txt,42,0,0,0,0,0,0,0,0,0
B_1.txt,43,0,0,0,0,0,0,0,0,0
B_1.txt,44,0,0,0,0,0,0,0,0,0
B_1.txt,45,0,0,0,0,0,0,0,0,0
B_1.txt,46,0,0,0,0,0,0,0,0,0
B_1.txt,47,0,0,0,0,0,0,0,0,0
B_1.txt,48,0,1482,135,1179,24114,6631,1742,17,15
B_1.txt,49,0,0,0,0,0,0,0,0,0
B_1.txt,50,0,0,0,0,0,0,0,0,0
B_1.txt,51,0,0,0,0,0,0,0,0,0
B_1.txt,52,0,0,0,0,0,0,0,0,0
