branch-instructions,branch-misses,cache-misses,cpu-cycles,instructions,L1-dcache-loads,LLC-stores,iTLB-load-misses,label
46470,6405,48014,794123,210602,55719,605,588,0
45477,5817,41115,732557,203080,53358,619,698,0
45917,6290,47189,943325,208296,54044,575,601,0
45525,5544,34733,711155,206652,54839,515,613,0
46870,6090,46582,904106,210865,55816,718,871,0
46066,6417,62182,864326,206794,54450,769,678,0
44802,5696,39333,877894,198776,51958,649,881,0
45499,6090,39000,776254,204090,53288,630,751,0
45263,5897,56160,786880,202182,53085,627,709,0
46109,6023,62007,824852,207153,54069,616,778,0
42827,5675,44617,831532,191459,50239,639,595,0
44767,5854,37013,824011,199211,52238,628,1232,0
45930,6343,37828,778115,205758,54288,540,767,0
46500,5861,36416,910451,208859,55211,764,1242,0
44318,6011,34397,729158,198139,52009,588,672,0
44929,6018,63850,810515,200837,52629,532,667,0
42868,5843,51259,771049,190465,49884,553,779,0
47475,6083,46177,887093,210826,55049,625,781,0
42649,5401,41213,719639,189756,49628,493,961,0
47183,6327,50459,824271,208805,54742,656,710,0
46207,5945,36552,753334,209071,55347,610,676,1
43357,5730,47811,767407,192375,50288,664,758,1
45921,5904,34967,796477,206943,53425,767,830,1
42881,5816,51280,792364,191653,50281,505,541,1
46341,6015,35246,804368,207714,54840,718,985,1
46258,6511,52442,811593,208212,54679,685,635,1
44396,5740,40850,808816,197297,51705,611,685,1
44540,5842,36363,847794,198411,51980,629,886,1
44387,5800,46575,766003,197176,51637,628,708,1
44582,6185,53011,815449,198614,51884,583,695,1
45163,5923,36224,786763,203084,53398,700,769,1
44423,5537,37710,799463,197441,51734,572,939,1
45346,6205,38240,758132,203974,52719,538,691,1
47140,6328,41016,791600,212493,56347,722,695,1
45741,5857,34990,751680,206123,54315,653,656,1
46003,6005,38095,799681,206787,54182,660,729,1
45739,6224,46345,806518,204431,53955,568,691,1
46532,6213,45485,789731,206141,53887,939,651,1
45198,5663,37441,900726,202861,52714,635,1045,1
47107,6131,49675,819513,209339,54277,611,761,1
