sample_id,timestamp_id,label,branch-instructions,branch-misses,cache-misses,cpu-cycles,instructions,L1-dcache-loads,LLC-stores,iTLB-load-misses
B_1.txt,1,0,345653,9557,8080,1559429,1798934,495211,5454,636
B_1.txt,2,0,0,0,0,0,0,0,0,0
B_1.txt,3,0,0,0,0,0,0,0,0,0
B_1.txt,4,0,1482,220,1761,25770,6631,1742,23,21
B_1.txt,5,0,0,0,0,0,0,0,0,0
B_1.txt,6,0,0,0,0,0,0,0,0,0
B_1.txt,7,0,1481,218,3081,28135,6631,1742,19,18
B_1.txt,8,0,0,0,0,0,0,0,0,0
B_1.txt,9,0,0,0,0,0,0,0,0,0
B_1.txt,10,0,1473,213,2344,27233,6598,1735,18,19
B_1.txt,11,0,0,0,0,0,0,0,0,0
B_1.txt,12,0,0,0,0,0,0,0,0,0
B_1.txt,13,0,0,0,0,0,0,0,0,0
B_1.txt,14,0,1471,216,2343,26699,6589,1733,20,17
B_1.txt,15,0,0,0,0,0,0,0,0,0
B_1.txt,16,0,0,0,0,0,0,0,0,0
B_1.txt,17,0,1471,213,1507,25241,6591,1733,21,18
B_1.txt,18,0,0,0,0,0,0,0,0,0
B_1.txt,19,0,0,0,0,0,0,0,0,0
B_1.txt,20,0,1482,218,3128,30150,6631,1742,20,18
B_1.txt,21,0,0,0,0,0,0,0,0,0
B_1.txt,22,0,0,0,0,0,0,0,0,0
B_1.txt,23,0,0,0,0,0,0,0,0,0
B_1.txt,24,0,1469,215,1128,24746,6570,1726,26,19
B_1.txt,25,0,0,0,0,0,0,0,0,0
B_1.txt,26,0,0,0,0,0,0,0,0,0
B_1.txt,27,0,2874,389,2948,46739,14450,4113,58,18
B_1.txt,28,0,0,0,0,0,0,0,0,0
B_1.txt,29,0,0,0,0,0,0,0,0,0
B_1.txt,30,0,1473,227,1774,26404,6585,1728,21,19
B_1.txt,31,0,0,0,0,0,0,0,0,0
B_1.txt,32,0,0,0,0,0,0,0,0,0
B_1.txt,33,0,0,0,0,0,0,0,0,0
B_1.txt,34,0,1480,212,1939,26609,6612,1734,20,17
B_1.txt,35,0,0,0,0,0,0,0,0,0
B_1.txt,36,0,0,0,0,0,0,0,0,0
B_1.txt,37,0,1483,218,1104,24479,6621,1736,24,17
B_1.txt,38,0,0,0,0,0,0,0,0,0
B_1.txt,39,0,0,0,0,0,0,0,0,0
B_1.txt,40,0,1473,223,1118,24956,6585,1728,22,18
B_1.txt,41,0,0,0,0,0,0,0,0,0
B_1.txt,42,0,0,0,0,0,0,0,0,0
B_1.txt,43,0,0,0,0,0,0,0,0,0
B_1.txt,44,0,1471,223,3138,29361,6578,1726,21,20
B_1.txt,45,0,0,0,0,0,0,0,0,0
B_1.txt,46,0,0,0,0,0,0,0,0,0
B_1.txt,47,0,1479,230,3153,29499,6609,1732,23,18
B_1.txt,48,0,0,0,0,0,0,0,0,0
B_1.txt,49,0,0,0,0,0,0,0,0,0
B_1.txt,50,0,1484,221,1128,25355,6625,1737,21,19
B_1.txt,51,0,0,0,0,0,0,0,0,0
B_1.txt,52,0,0,0,0,0,0,0,0,0
B_1.txt,53,0,0,0,0,0,0,0,0,0
B_1.txt,54,0,1473,216,2197,30191,6585,1728,34,17
B_1.txt,55,0,0,0,0,0,0,0,0,0
B_1.txt,56,0,0,0,0,0,0,0,0,0
B_1.txt,57,0,1472,209,1297,27135,6584,1728,27,20
B_1.txt,58,0,0,0,0,0,0,0,0,0
B_1.txt,59,0,0,0,0,0,0,0,0,0
B_1.txt,60,0,1473,220,1840,26660,6585,1728,28,18
B_1.txt,61,0,0,0,0,0,0,0,0,0
B_1.txt,62,0,0,0,0,0,0,0,0,0
B_1.txt,63,0,0,0,0,0,0,0,0,0
B_1.txt,64,0,1473,218,1386,25401,6585,1728,24,18
B_1.txt,65,0,0,0,0,0,0,0,0,0
B_1.txt,66,0,0,0,0,0,0,0,0,0
B_1.txt,67,0,1482,223,1253,29981,6617,1737,19,22
B_1.txt,68,0,0,0,0,0,0,0,0,0
B_1.txt,69,0,0,0,0,0,0,0,0,0
B_1.txt,70,0,1482,221,1417,27188,6617,1735,18,17
B_1.txt,71,0,0,0,0,0,0,0,0,0
B_1.txt,72,0,0,0,0,0,0,0,0,0
B_1.txt,73,0,0,0,0,0,0,0,0,0
B_1.txt,74,0,1480,216,1379,27112,6612,1733,20,18
B_1.txt,75,0,0,0,0,0,0,0,0,0
B_1.txt,76,0,0,0,0,0,0,0,0,0
B_1.txt,77,0,1478,218,1625,29377,6607,1732,18,17
B_1.txt,78,0,0,0,0,0,0,0,0,0
B_1.txt,79,0,0,0,0,0,0,0,0,0
B_1.txt,80,0,1479,211,1194,42802,6604,1732,22,18
B_1.txt,81,0,0,0,0,0,0,0,0,0
B_1.txt,82,0,0,0,0,0,0,0,0,0
B_1.txt,83,0,1471,207,1228,25414,6578,1726,21,18
B_1.txt,84,0,0,0,0,0,0,0,0,0
B_1.txt,85,0,0,0,0,0,0,0,0,0
B_1.txt,86,0,0,0,0,0,0,0,0,0
B_1.txt,87,0,1471,213,1035,26620,6580,1726,37,19
B_1.txt,88,0,0,0,0,0,0,0,0,0
B_1.txt,89,0,0,0,0,0,0,0,0,0
B_1.txt,90,0,1476,213,1261,28298,6601,1731,18,19
B_1.txt,91,0,0,0,0,0,0,0,0,0
B_1.txt,92,0,0,0,0,0,0,0,0,0
B_1.txt,93,0,1473,126,1216,24997,6585,1728,27,21
B_1.txt,94,0,0,0,0,0,0,0,0,0
B_1.txt,95,0,0,0,0,0,0,0,0,0
B_1.txt,96,0,0,0,0,0,0,0,0,0
B_1.txt,97,0,1482,129,1187,24788,6616,1735,18,22
B_1.txt,98,0,0,0,0,0,0,0,0,0
